preset	params	elo score (chat)	elo score (instruct)	elo score (all)	matches (chat)	matches (instruct)
random_preset_119	4	854.9613461514933	984.4404705323459	919.7009083419196	28	20
simple-5	3	851.8580325046476	902.6094761858275	877.2337543452375	25	28
eta-higher-temperature	2	849.05915968688	931.3918435065036	890.2255015966919	25	24
random_preset_099	6	848.2463686600823	847.5982611762389	847.9223149181606	34	24
random_preset_078	5	845.5122546855323	851.9830533868894	848.7476540362109	38	35
random_preset_089	4	843.8461494787211	941.8295959187194	892.8378726987203	25	32
random_preset_068	5	841.2928865723215	904.0625922709327	872.6777394216272	36	25
random_preset_073	6	840.6690982052886	791.7504120569716	816.2097551311301	29	29
random_preset_180	6	834.7753484600938	964.6666358299746	899.7209921450342	28	17
random_preset_159	5	830.8460317511127	873.1961766432055	852.021104197159	28	20
random_preset_079	6	829.0703507209495	826.8461673638812	827.9582590424154	22	26
random_preset_004	7	828.3802793547743	956.4138218403142	892.3970505975442	31	31
random_preset_054	4	827.4063020788639	904.6686646904845	866.0374833846743	28	32
random_preset_132	4	818.7191469885908	942.7679284882413	880.7435377384161	36	14
random_preset_053	5	807.1004789469974	782.3437883764025	794.7221336616999	27	39
random_preset_026	4	805.4459000214083	838.5115298063705	821.9787149138895	31	40
random_preset_008	7	804.5306235567186	839.8190805934624	822.1748520750905	38	29
Special-Contrastive Search-2	3	801.0156035678388	736.8621355164904	768.9388695421646	27	25
random_preset_153	7	800.8103651568796	1016.9944376231117	908.9024013899957	38	16
random_preset_097	4	795.4542309760708	793.0378979440273	794.2460644600491	30	29
random_preset_142	5	789.248476519105	914.3397238901229	851.7941002046139	35	23
random_preset_088	4	786.4069860282266	837.2160726721909	811.8115293502087	38	28
random_preset_062	4	786.1630975759853	843.7409017593661	814.9519996676756	35	29
random_preset_069	4	781.1806511242213	907.4752616170719	844.3279563706466	36	34
random_preset_061	7	768.3144365375857	1000.0	884.1572182687928	24	0
Special-Contrastive Search-4	3	765.788679774467	790.9640810990088	778.3763804367379	33	19
random_preset_044	6	753.7272741430733	969.9986854341078	861.8629797885906	33	22
NovelAI-Decadence	3	741.4356646297776	913.8047406345895	827.6202026321836	34	24
